Year,Value
2006,1.51
2007,3.56
2008,2.16
2009,0.72
2010,-1.21
2011,1.08
2012,-0.74
2013,2.07
2014,-0.64
2015,1.36
2016,1.49
2017,-0.36
2018,1.86
2019,3.24
2020,-2.29
2021,2.45
