Value,Disaggregation combinations using this value,Number of indicators
Above-ground biomass stock in forest [ton/ha],1,1
Forest area annual net change (%),1,1
Forest area under independantely verified forest management certification schemes [1000 ha],1,1
Proportion of forest area located within legally established protected areas [%],1,1
Proportion of forest area under long-term forest management plan [%],1,1
