Value,Disaggregation combinations using this value,Number of indicators
0-15,3,1
13 - 18 years,9,1
'14',6,2
'15',6,2
16-24,12,3
'16',8,3
'17',8,3
'18',8,3
'19',6,2
'20',6,2
25-34,3,1
25-54,3,1
25-64,6,1
35-44,3,1
45-54,3,1
5 years and younger,9,1
55-64,3,1
55-74,3,1
6 - 12 years,9,1
65+,3,1
Total,9,1
