Indicator,Disaggregation combinations using this value
#11-1-1,4
#16-1-4,1
#4-1-1,3
#4-1-2,1
#4-3-1,4
#5-3-1,3
#5-5-1,2
#5-5-2,4
#5-b-1,1
#8-8-1,6
