Value,Disaggregation combinations using this value,Number of indicators
1st quantile,1,1
1st quartile,1,1
2nd quantile,1,1
2nd quartile,1,1
3rd quantile,1,1
3rd quartile,1,1
4th quantile,1,1
4th quartile,1,1
5th quantile,1,1
Total,1,1
