Year,Kyn,Value
2012,Kona,56
2013,Kona,60
2014,Kona,69
2017,Kona,84
2018,Kona,85
2019,Kona,87
2012,Karl,63
2013,Karl,62
2014,Karl,67
2017,Karl,85
2018,Karl,82
2019,Karl,88
