Year,Flokkur,Value
2000,Vötn og uppistöðulón,1217.8
2000,Ár og árósar,869.1
2000,Votlendi,7126.8
2006,Vötn og uppistöðulón,1222.3
2006,Ár og árósar,854.3
2006,Votlendi,7121.7
2012,Vötn og uppistöðulón,1297.0
2012,Ár og árósar,797.2
2012,Votlendi,7107.5
2018,Vötn og uppistöðulón,1314.5
2018,Ár og árósar,722.4
2018,Votlendi,7093.8
