Year,Kyn,Atvinnugrein,Value
2015,Karl,Tæknar og sérmenntað starfsfólk (3),3410
2016,Karl,Tæknar og sérmenntað starfsfólk (3),3800
2017,Karl,Tæknar og sérmenntað starfsfólk (3),4110
2018,Karl,Tæknar og sérmenntað starfsfólk (3),4310
2019,Karl,Tæknar og sérmenntað starfsfólk (3),4370
2020,Karl,Tæknar og sérmenntað starfsfólk (3),4520
2008,Kona,Tæknar og sérmenntað starfsfólk (3),1740
2009,Kona,Tæknar og sérmenntað starfsfólk (3),1790
2010,Kona,Tæknar og sérmenntað starfsfólk (3),1880
2011,Kona,Tæknar og sérmenntað starfsfólk (3),2030
2012,Kona,Tæknar og sérmenntað starfsfólk (3),2090
2013,Kona,Tæknar og sérmenntað starfsfólk (3),2210
2014,Kona,Tæknar og sérmenntað starfsfólk (3),2330
2015,Kona,Tæknar og sérmenntað starfsfólk (3),2470
2016,Kona,Tæknar og sérmenntað starfsfólk (3),2750
2017,Kona,Tæknar og sérmenntað starfsfólk (3),2980
2018,Kona,Tæknar og sérmenntað starfsfólk (3),3150
2019,Kona,Tæknar og sérmenntað starfsfólk (3),3250
2020,Kona,Tæknar og sérmenntað starfsfólk (3),3520
2008,Karl,Skrifstofufólk (4),1960
2009,Karl,Skrifstofufólk (4),2000
2010,Karl,Skrifstofufólk (4),2110
2011,Karl,Skrifstofufólk (4),2250
2012,Karl,Skrifstofufólk (4),2370
2013,Karl,Skrifstofufólk (4),2480
2014,Karl,Skrifstofufólk (4),2420
2015,Karl,Skrifstofufólk (4),2500
2016,Karl,Skrifstofufólk (4),2530
2017,Karl,Skrifstofufólk (4),2750
2018,Karl,Skrifstofufólk (4),2890
2019,Karl,Skrifstofufólk (4),2970
2020,Karl,Skrifstofufólk (4),3250
2008,Kona,Skrifstofufólk (4),1620
2009,Kona,Skrifstofufólk (4),1680
2010,Kona,Skrifstofufólk (4),1790
2011,Kona,Skrifstofufólk (4),1870
2012,Kona,Skrifstofufólk (4),2010
2013,Kona,Skrifstofufólk (4),2110
2014,Kona,Skrifstofufólk (4),2200
2015,Kona,Skrifstofufólk (4),2340
2016,Kona,Skrifstofufólk (4),2530
2017,Kona,Skrifstofufólk (4),2730
2018,Kona,Skrifstofufólk (4),2900
2019,Kona,Skrifstofufólk (4),2980
2020,Kona,Skrifstofufólk (4),3250
2008,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1440
2009,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1550
2010,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1660
2011,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1780
2012,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1840
2013,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",1960
2014,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2040
2015,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2180
2016,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2450
2017,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2590
2018,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2600
2019,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",2730
2020,Karl,"Þjónustu-, sölu- og afgreiðslufólk (5)",3010
2008,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1200
2009,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1310
2010,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1400
2011,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1500
2012,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1580
2013,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1650
2014,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1760
2015,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",1860
2016,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2100
2017,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2230
2018,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2290
2019,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2370
2020,Kona,"Þjónustu-, sölu- og afgreiðslufólk (5)",2650
2008,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),1840
2009,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),1840
2010,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2010
2011,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2200
2012,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2260
2013,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2380
2014,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2450
2015,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2710
2016,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),2910
2017,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3130
2018,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3290
2019,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3370
2020,Karl,Iðnaðarmenn og sérhæft iðnverkafólk (7),3710
2008,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1300
2009,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1320
2010,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1520
2011,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1760
2012,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1500
2013,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1750
2014,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),1860
2015,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2060
2016,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2310
2017,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2470
2018,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2500
2019,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2660
2020,Kona,Iðnaðarmenn og sérhæft iðnverkafólk (7),2850
2008,Karl,Véla- og vélgæslufólk (8),1650
2009,Karl,Véla- og vélgæslufólk (8),1720
2010,Karl,Véla- og vélgæslufólk (8),1860
2011,Karl,Véla- og vélgæslufólk (8),2040
2012,Karl,Véla- og vélgæslufólk (8),2080
2013,Karl,Véla- og vélgæslufólk (8),2200
2014,Karl,Véla- og vélgæslufólk (8),2180
2015,Karl,Véla- og vélgæslufólk (8),2410
2016,Karl,Véla- og vélgæslufólk (8),2580
2017,Karl,Véla- og vélgæslufólk (8),2760
2018,Karl,Véla- og vélgæslufólk (8),2760
2008,Kona,Véla- og vélgæslufólk (8),1500
2009,Kona,Véla- og vélgæslufólk (8),1600
2010,Kona,Véla- og vélgæslufólk (8),1760
2011,Kona,Véla- og vélgæslufólk (8),1880
2012,Kona,Véla- og vélgæslufólk (8),2000
2013,Kona,Véla- og vélgæslufólk (8),2190
2014,Kona,Véla- og vélgæslufólk (8),2040
2015,Kona,Véla- og vélgæslufólk (8),2240
2016,Kona,Véla- og vélgæslufólk (8),2370
2017,Kona,Véla- og vélgæslufólk (8),2500
2018,Kona,Véla- og vélgæslufólk (8),2560
2008,Karl,Ósérhæft starfsfólk (9),1350
2009,Karl,Ósérhæft starfsfólk (9),1390
2010,Karl,Ósérhæft starfsfólk (9),1490
2011,Karl,Ósérhæft starfsfólk (9),1580
2012,Karl,Ósérhæft starfsfólk (9),1710
2013,Karl,Ósérhæft starfsfólk (9),1740
2014,Karl,Ósérhæft starfsfólk (9),1860
2015,Karl,Ósérhæft starfsfólk (9),2010
2016,Karl,Ósérhæft starfsfólk (9),2200
2017,Karl,Ósérhæft starfsfólk (9),2330
2018,Karl,Ósérhæft starfsfólk (9),2350
2019,Karl,Ósérhæft starfsfólk (9),2480
2020,Karl,Ósérhæft starfsfólk (9),2760
2008,Kona,Ósérhæft starfsfólk (9),1140
2009,Kona,Ósérhæft starfsfólk (9),1230
2010,Kona,Ósérhæft starfsfólk (9),1320
2011,Kona,Ósérhæft starfsfólk (9),1400
2012,Kona,Ósérhæft starfsfólk (9),1510
2013,Kona,Ósérhæft starfsfólk (9),1570
2014,Kona,Ósérhæft starfsfólk (9),1700
2015,Kona,Ósérhæft starfsfólk (9),1790
2016,Kona,Ósérhæft starfsfólk (9),2040
2017,Kona,Ósérhæft starfsfólk (9),2130
2018,Kona,Ósérhæft starfsfólk (9),2140
2019,Kona,Ósérhæft starfsfólk (9),2260
2020,Kona,Ósérhæft starfsfólk (9),2540
2008,Karl,Verkafólk,1480
2009,Karl,Verkafólk,1520
2010,Karl,Verkafólk,1650
2011,Karl,Verkafólk,1810
2012,Karl,Verkafólk,1850
2013,Karl,Verkafólk,1950
2014,Karl,Verkafólk,2020
2015,Karl,Verkafólk,2200
2016,Karl,Verkafólk,2400
2017,Karl,Verkafólk,2560
2018,Karl,Verkafólk,2590
2019,Karl,Verkafólk,2750
2020,Karl,Verkafólk,3030
2008,Kona,Verkafólk,1190
2009,Kona,Verkafólk,1270
2010,Kona,Verkafólk,1380
2011,Kona,Verkafólk,1510
2012,Kona,Verkafólk,1530
2013,Kona,Verkafólk,1660
2014,Kona,Verkafólk,1750
2015,Kona,Verkafólk,1900
2016,Kona,Verkafólk,2140
2017,Kona,Verkafólk,2260
2018,Kona,Verkafólk,2250
2019,Kona,Verkafólk,2390
2020,Kona,Verkafólk,2660
