Year,Kyn,Atvinnugrein,Value
2020,Karl,Opinberir starfsmenn - ríkisstarfsmenn,4350
2008,Kona,Opinberir starfsmenn - ríkisstarfsmenn,1950
2009,Kona,Opinberir starfsmenn - ríkisstarfsmenn,1990
2010,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2030
2011,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2180
2012,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2240
2013,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2360
2014,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2530
2015,Kona,Opinberir starfsmenn - ríkisstarfsmenn,2800
2016,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3130
2017,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3300
2018,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3510
2019,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3540
2020,Kona,Opinberir starfsmenn - ríkisstarfsmenn,3860
2008,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,1840
2009,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,1920
2010,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,1930
2011,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2040
2012,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2130
2013,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2100
2014,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2290
2015,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2400
2016,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2750
2017,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,2950
2018,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,3040
2019,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,3090
2020,Karl,Opinberir starfsmenn - starfsmenn sveitarfélaga,3340
2008,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1570
2009,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1720
2010,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1790
2011,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1890
2012,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1960
2013,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,1960
2014,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2120
2015,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2230
2016,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2530
2017,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2700
2018,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2840
2019,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,2870
2020,Kona,Opinberir starfsmenn - starfsmenn sveitarfélaga,3170
2008,Karl,Fullvinnandi,2250
2009,Karl,Fullvinnandi,2290
2010,Karl,Fullvinnandi,2420
2011,Karl,Fullvinnandi,2570
2012,Karl,Fullvinnandi,2680
2013,Karl,Fullvinnandi,2900
2014,Karl,Fullvinnandi,3010
2015,Karl,Fullvinnandi,3260
2016,Karl,Fullvinnandi,3550
2017,Karl,Fullvinnandi,3760
2018,Karl,Fullvinnandi,3850
2019,Karl,Fullvinnandi,3980
2020,Karl,Fullvinnandi,4280
2008,Kona,Fullvinnandi,1850
2009,Kona,Fullvinnandi,1930
2010,Kona,Fullvinnandi,2040
2011,Kona,Fullvinnandi,2170
2012,Kona,Fullvinnandi,2280
2013,Kona,Fullvinnandi,2440
2014,Kona,Fullvinnandi,2570
2015,Kona,Fullvinnandi,2790
2016,Kona,Fullvinnandi,3050
2017,Kona,Fullvinnandi,3260
2018,Kona,Fullvinnandi,3370
2019,Kona,Fullvinnandi,3490
2020,Kona,Fullvinnandi,3830
2008,Karl,Hlutastarfsfólk,1580
2009,Karl,Hlutastarfsfólk,1640
2010,Karl,Hlutastarfsfólk,1680
2011,Karl,Hlutastarfsfólk,1830
2012,Karl,Hlutastarfsfólk,1910
2013,Karl,Hlutastarfsfólk,2000
2014,Karl,Hlutastarfsfólk,2120
2015,Karl,Hlutastarfsfólk,2310
2016,Karl,Hlutastarfsfólk,2550
2017,Karl,Hlutastarfsfólk,2660
2018,Karl,Hlutastarfsfólk,2680
2019,Karl,Hlutastarfsfólk,2830
2020,Karl,Hlutastarfsfólk,3150
2008,Kona,Hlutastarfsfólk,1420
2009,Kona,Hlutastarfsfólk,1530
2010,Kona,Hlutastarfsfólk,1600
2011,Kona,Hlutastarfsfólk,1720
2012,Kona,Hlutastarfsfólk,1790
2013,Kona,Hlutastarfsfólk,1890
2014,Kona,Hlutastarfsfólk,2080
2015,Kona,Hlutastarfsfólk,2200
2016,Kona,Hlutastarfsfólk,2480
2017,Kona,Hlutastarfsfólk,2620
2018,Kona,Hlutastarfsfólk,2670
2019,Kona,Hlutastarfsfólk,2740
2020,Kona,Hlutastarfsfólk,3080
2008,Karl,Framleiðsla (C),1950
2009,Karl,Framleiðsla (C),1990
2010,Karl,Framleiðsla (C),2170
2011,Karl,Framleiðsla (C),2340
2012,Karl,Framleiðsla (C),2410
2013,Karl,Framleiðsla (C),2620
2014,Karl,Framleiðsla (C),2580
2015,Karl,Framleiðsla (C),2800
2016,Karl,Framleiðsla (C),2980
2017,Karl,Framleiðsla (C),3180
2018,Karl,Framleiðsla (C),3340
2019,Karl,Framleiðsla (C),3560
2020,Karl,Framleiðsla (C),3850
2008,Kona,Framleiðsla (C),1510
2009,Kona,Framleiðsla (C),1560
2010,Kona,Framleiðsla (C),1660
2011,Kona,Framleiðsla (C),1860
2012,Kona,Framleiðsla (C),1930
2013,Kona,Framleiðsla (C),2120
2014,Kona,Framleiðsla (C),2180
2015,Kona,Framleiðsla (C),2340
2016,Kona,Framleiðsla (C),2540
2017,Kona,Framleiðsla (C),2660
2018,Kona,Framleiðsla (C),2800
2019,Kona,Framleiðsla (C),3100
2020,Kona,Framleiðsla (C),3320
2008,Karl,"Rafmagns-, gas- og hitaveitur (D)",2500
2009,Karl,"Rafmagns-, gas- og hitaveitur (D)",2660
2010,Karl,"Rafmagns-, gas- og hitaveitur (D)",2670
2011,Karl,"Rafmagns-, gas- og hitaveitur (D)",2910
2012,Karl,"Rafmagns-, gas- og hitaveitur (D)",3160
2013,Karl,"Rafmagns-, gas- og hitaveitur (D)",3370
2014,Karl,"Rafmagns-, gas- og hitaveitur (D)",3630
2015,Karl,"Rafmagns-, gas- og hitaveitur (D)",3820
2016,Karl,"Rafmagns-, gas- og hitaveitur (D)",4490
2017,Karl,"Rafmagns-, gas- og hitaveitur (D)",4700
2018,Karl,"Rafmagns-, gas- og hitaveitur (D)",4870
2019,Karl,"Rafmagns-, gas- og hitaveitur (D)",4980
2020,Karl,"Rafmagns-, gas- og hitaveitur (D)",5410
2008,Kona,"Rafmagns-, gas- og hitaveitur (D)",2040
2009,Kona,"Rafmagns-, gas- og hitaveitur (D)",2150
2010,Kona,"Rafmagns-, gas- og hitaveitur (D)",2300
2011,Kona,"Rafmagns-, gas- og hitaveitur (D)",2590
2012,Kona,"Rafmagns-, gas- og hitaveitur (D)",2700
2013,Kona,"Rafmagns-, gas- og hitaveitur (D)",2950
2014,Kona,"Rafmagns-, gas- og hitaveitur (D)",3210
2015,Kona,"Rafmagns-, gas- og hitaveitur (D)",3370
2016,Kona,"Rafmagns-, gas- og hitaveitur (D)",3910
2017,Kona,"Rafmagns-, gas- og hitaveitur (D)",4290
2018,Kona,"Rafmagns-, gas- og hitaveitur (D)",4460
2019,Kona,"Rafmagns-, gas- og hitaveitur (D)",4480
2020,Kona,"Rafmagns-, gas- og hitaveitur (D)",5070
2008,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1780
2009,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1860
2010,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2050
2011,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2130
2012,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2210
2013,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2370
2014,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2570
2015,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2830
2016,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2980
2017,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3160
2018,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3240
2019,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3430
2020,Karl,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3540
2008,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1380
2009,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1420
2010,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1630
2011,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1720
2012,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1810
2013,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",1940
2014,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2100
2015,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2280
2016,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2440
2017,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2620
2018,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2760
2019,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",2950
2020,Kona,"Heild- og smásöluverslun, viðgerðir á vélknúnum ökutækjum (G)",3130
2008,Karl,Flutningar og geymsla (H),2070
2009,Karl,Flutningar og geymsla (H),2100
2010,Karl,Flutningar og geymsla (H),2210
2011,Karl,Flutningar og geymsla (H),2330
2012,Karl,Flutningar og geymsla (H),2420
2013,Karl,Flutningar og geymsla (H),2700
2014,Karl,Flutningar og geymsla (H),2760
2015,Karl,Flutningar og geymsla (H),2990
2016,Karl,Flutningar og geymsla (H),3280
2017,Karl,Flutningar og geymsla (H),3370
2018,Karl,Flutningar og geymsla (H),3690
2019,Karl,Flutningar og geymsla (H),3840
2020,Karl,Flutningar og geymsla (H),4230
2008,Kona,Flutningar og geymsla (H),1590
2009,Kona,Flutningar og geymsla (H),1680
2010,Kona,Flutningar og geymsla (H),1850
2011,Kona,Flutningar og geymsla (H),1950
2012,Kona,Flutningar og geymsla (H),2050
2013,Kona,Flutningar og geymsla (H),2200
2014,Kona,Flutningar og geymsla (H),2240
2015,Kona,Flutningar og geymsla (H),2420
2016,Kona,Flutningar og geymsla (H),2630
2017,Kona,Flutningar og geymsla (H),2800
2018,Kona,Flutningar og geymsla (H),3060
2019,Kona,Flutningar og geymsla (H),3220
2020,Kona,Flutningar og geymsla (H),3740
2008,Karl,Upplýsingar og fjarskipti (J),2660
2009,Karl,Upplýsingar og fjarskipti (J),2560
2010,Karl,Upplýsingar og fjarskipti (J),2810
2011,Karl,Upplýsingar og fjarskipti (J),2880
2012,Karl,Upplýsingar og fjarskipti (J),3130
2013,Karl,Upplýsingar og fjarskipti (J),3120
2014,Karl,Upplýsingar og fjarskipti (J),3290
2015,Karl,Upplýsingar og fjarskipti (J),3450
2016,Karl,Upplýsingar og fjarskipti (J),3840
2017,Karl,Upplýsingar og fjarskipti (J),3950
2018,Karl,Upplýsingar og fjarskipti (J),4150
2019,Karl,Upplýsingar og fjarskipti (J),4330
2020,Karl,Upplýsingar og fjarskipti (J),4680
2008,Kona,Upplýsingar og fjarskipti (J),2160
2009,Kona,Upplýsingar og fjarskipti (J),2170
2010,Kona,Upplýsingar og fjarskipti (J),2310
2011,Kona,Upplýsingar og fjarskipti (J),2370
2012,Kona,Upplýsingar og fjarskipti (J),2560
2013,Kona,Upplýsingar og fjarskipti (J),2570
2014,Kona,Upplýsingar og fjarskipti (J),2690
2015,Kona,Upplýsingar og fjarskipti (J),2960
2016,Kona,Upplýsingar og fjarskipti (J),3370
2017,Kona,Upplýsingar og fjarskipti (J),3530
2018,Kona,Upplýsingar og fjarskipti (J),3720
2019,Kona,Upplýsingar og fjarskipti (J),3880
2020,Kona,Upplýsingar og fjarskipti (J),4060
2018,Karl,Rekstur gististaða og veitingarekstur (I),2320
2019,Karl,Rekstur gististaða og veitingarekstur (I),2510
2020,Karl,Rekstur gististaða og veitingarekstur (I),2910
2018,Kona,Rekstur gististaða og veitingarekstur (I),2220
2019,Kona,Rekstur gististaða og veitingarekstur (I),2340
2020,Kona,Rekstur gististaða og veitingarekstur (I),2730
2008,Karl,Fjármála- og vátryggingastarfsemi (K),3830
2009,Karl,Fjármála- og vátryggingastarfsemi (K),3680
2010,Karl,Fjármála- og vátryggingastarfsemi (K),3770
2011,Karl,Fjármála- og vátryggingastarfsemi (K),4010
2012,Karl,Fjármála- og vátryggingastarfsemi (K),4470
2013,Karl,Fjármála- og vátryggingastarfsemi (K),4990
2014,Karl,Fjármála- og vátryggingastarfsemi (K),5360
2015,Karl,Fjármála- og vátryggingastarfsemi (K),5550
2016,Karl,Fjármála- og vátryggingastarfsemi (K),6260
2017,Karl,Fjármála- og vátryggingastarfsemi (K),6890
2018,Karl,Fjármála- og vátryggingastarfsemi (K),7040
2019,Karl,Fjármála- og vátryggingastarfsemi (K),7290
2020,Karl,Fjármála- og vátryggingastarfsemi (K),7560
2008,Kona,Fjármála- og vátryggingastarfsemi (K),2190
2009,Kona,Fjármála- og vátryggingastarfsemi (K),2330
2010,Kona,Fjármála- og vátryggingastarfsemi (K),2560
2011,Kona,Fjármála- og vátryggingastarfsemi (K),2650
2012,Kona,Fjármála- og vátryggingastarfsemi (K),2910
2013,Kona,Fjármála- og vátryggingastarfsemi (K),3090
2014,Kona,Fjármála- og vátryggingastarfsemi (K),3280
2015,Kona,Fjármála- og vátryggingastarfsemi (K),3480
2016,Kona,Fjármála- og vátryggingastarfsemi (K),3790
2017,Kona,Fjármála- og vátryggingastarfsemi (K),4180
2018,Kona,Fjármála- og vátryggingastarfsemi (K),4520
2019,Kona,Fjármála- og vátryggingastarfsemi (K),4880
2020,Kona,Fjármála- og vátryggingastarfsemi (K),5170
2008,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2360
2009,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2390
2010,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2410
2011,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2590
2012,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2710
2013,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2840
2014,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3030
2015,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3160
2016,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3750
2017,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),3910
2018,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4130
2019,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4220
2020,Karl,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),4500
2008,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),1970
2009,Kona,Opinber stjórnsýsla og varnarmál; almannatryggingar (O),2020
