Year,Hópur,Value
1983,,0.004245617
1983,Karlar,0.008425665
1983,Konur,0.0
1984,,0.0
1984,Karlar,0.0
1984,Konur,0.0
1985,,0.066498757
1985,Karlar,0.123929046
1985,Konur,0.008363372
1986,,0.053673984
1986,Karlar,0.090370602
1986,Konur,0.01659999
1987,,0.020478626
1987,Karlar,0.032611531
1987,Konur,0.008230385
1988,,0.05251231
1988,Karlar,0.080411708
1988,Konur,0.024350452
1989,,0.023817179
1989,Karlar,0.039506017
1989,Konur,0.007977281
1990,,0.019701716
1990,Karlar,0.039236612
1990,Konur,0.0
1991,,0.039082957
1991,Karlar,0.062294137
1991,Konur,0.01569329
1992,,0.042352162
1992,Karlar,0.0767772
1992,Konur,0.0077232
1993,,0.011433537
1993,Karlar,0.015197568
1993,Konur,0.007646078
1994,,0.03018139
1994,Karlar,0.045129409
1994,Konur,0.015138556
1995,,0.026219389
1995,Karlar,0.03734381
1995,Konur,0.015027764
1996,,0.022391569
1996,Karlar,0.029781848
1996,Konur,0.014964683
1997,,0.033348896
1997,Karlar,0.059157158
1997,Konur,0.007427158
1998,,0.029370624
1998,Karlar,0.036645071
1998,Konur,0.022069047
1999,,0.043523677
1999,Karlar,0.050693046
1999,Konur,0.036330345
2000,,0.035836
2000,Karlar,0.05011993
2000,Konur,0.021523274
2001,,0.038819739
2001,Karlar,0.063438359
2001,Konur,0.014135175
2002,,0.024426415
2002,Karlar,0.03485535
2002,Konur,0.013973799
2003,,0.03466553
2003,Karlar,0.041583788
2003,Konur,0.027742329
2004,,0.017207558
2004,Karlar,0.027510127
2004,Konur,0.006888523
2005,,0.027250091
2005,Karlar,0.033974315
2005,Konur,0.020490824
2006,,0.036679994
2006,Karlar,0.052909353
2006,Konur,0.020176341
2007,,0.042252789
2007,Karlar,0.038320049
2007,Konur,0.046328162
2008,,0.031699841
2008,Karlar,0.043506364
2008,Konur,0.019409561
2009,,0.046967761
2009,Karlar,0.024680998
2009,Konur,0.06993007
2010,,0.075559613
2010,Karlar,0.112545018
2010,Konur,0.038048372
2011,,0.072224385
2011,Karlar,0.074997188
2011,Konur,0.069424283
2012,,0.062583118
2012,Karlar,0.081065576
2012,Konur,0.043966811
2013,,0.034176669
2013,Karlar,0.049554628
2013,Konur,0.018701027
2014,,0.030705835
2014,Karlar,0.04898419
2014,Konur,0.012318836
2015,,0.039501671
2015,Karlar,0.0665916
2015,Konur,0.01220152
2016,,0.081195926
2016,Karlar,0.119567167
2016,Konur,0.042357754
2017,,0.082754789
2017,Karlar,0.146170622
2017,Konur,0.017930144
2018,,0.109054384
2018,Karlar,0.140765766
2018,Konur,0.076090138
2019,,0.086836923
2019,Karlar,0.142203165
2019,Konur,0.028710222
