Year,Aldur,Kyn,Þjóðerni,Value
2013,6 - 12 ára,Kona,,1.6
2014,6 - 12 ára,Kona,,1.57480315
2015,6 - 12 ára,Kona,,1.469787697
2016,6 - 12 ára,Kona,,1.568730325
2017,6 - 12 ára,Kona,,1.484536082
2005,13 - 18 ára,,,136.2376238
2006,13 - 18 ára,,,132.5971731
2007,13 - 18 ára,,,128.1690141
2008,13 - 18 ára,,,126.0524846
2009,13 - 18 ára,,,125.5535714
2010,13 - 18 ára,,,123.1541219
2011,13 - 18 ára,,,114.4922342
2012,13 - 18 ára,,,111.0348906
2013,13 - 18 ára,,,106.8457143
2014,13 - 18 ára,,,106.1023622
2015,13 - 18 ára,,,101.7855199
2016,13 - 18 ára,,,99.09233998
2017,13 - 18 ára,,,98.5257732
2005,13 - 18 ára,Karl,,70.16707921
2006,13 - 18 ára,Karl,,68.00942285
2007,13 - 18 ára,Karl,,65.37464789
2008,13 - 18 ára,Karl,,64.40536013
2009,13 - 18 ára,Karl,,63.80357143
2010,13 - 18 ára,Karl,,62.60454002
2011,13 - 18 ára,Karl,,58.33333333
2012,13 - 18 ára,Karl,,56.8066233
2013,13 - 18 ára,Karl,,54.07428571
2014,13 - 18 ára,Karl,,53.58830146
2015,13 - 18 ára,Karl,,51.31736527
2016,13 - 18 ára,Karl,,50.0996852
2017,13 - 18 ára,Karl,,49.57216495
2005,13 - 18 ára,Kona,,66.07054455
2006,13 - 18 ára,Kona,,64.58775029
2007,13 - 18 ára,Kona,,62.7943662
2008,13 - 18 ára,Kona,,61.64712451
2009,13 - 18 ára,Kona,,61.75
2010,13 - 18 ára,Kona,,60.54958184
2011,13 - 18 ára,Kona,,56.15890084
2012,13 - 18 ára,Kona,,54.2282673
2013,13 - 18 ára,Kona,,52.77142857
2014,13 - 18 ára,Kona,,52.51406074
2015,13 - 18 ára,Kona,,50.4681546
2016,13 - 18 ára,Kona,,48.99265477
2017,13 - 18 ára,Kona,,48.95360825
2005,Alls,,,143.0136139
2006,Alls,,,139.0341578
2007,Alls,,,134.1295775
2008,Alls,,,131.2618649
2009,Alls,,,130.0535714
2010,Alls,,,127.1923536
2011,Alls,,,118.3572282
2012,Alls,,,114.9556475
2013,Alls,,,110.52
2014,Alls,,,109.696288
2015,Alls,,,105.1007077
2016,Alls,,,102.6128017
2017,Alls,,,102.0824742
2005,Alls,Karl,,73.64480198
2006,Alls,Karl,,71.44287397
2007,Alls,Karl,,68.52957746
2008,Alls,Karl,,67.06309324
2009,Alls,Karl,,66.07738095
2010,Alls,Karl,,64.64157706
2011,Alls,Karl,,60.19713262
2012,Alls,Karl,,58.81726789
2013,Alls,Karl,,56.01142857
2014,Alls,Karl,,55.47806524
2015,Alls,Karl,,53.03756124
2016,Alls,Karl,,51.94648478
2017,Alls,Karl,,51.53608247
2005,Alls,Kona,,69.36881188
2006,Alls,Kona,,67.59128386
2007,Alls,Kona,,65.6
2008,Alls,Kona,,64.19877164
2009,Alls,Kona,,63.97619048
2010,Alls,Kona,,62.55077658
2011,Alls,Kona,,58.16009558
2012,Alls,Kona,,56.13837966
2013,Alls,Kona,,54.50857143
2014,Alls,Kona,,54.21822272
2015,Alls,Kona,,52.06314643
2016,Alls,Kona,,50.66631689
2017,Alls,Kona,,50.54639175
2005,5 ára og yngri,,Erlent,0.0
2006,5 ára og yngri,,Erlent,0.0
2007,5 ára og yngri,,Erlent,0.0
2008,5 ára og yngri,,Erlent,0.0
2009,5 ára og yngri,,Erlent,0.0
2010,5 ára og yngri,,Erlent,0.0
2011,5 ára og yngri,,Erlent,0.0
2012,5 ára og yngri,,Erlent,0.0
2013,5 ára og yngri,,Erlent,0.0
2014,5 ára og yngri,,Erlent,0.0
2015,5 ára og yngri,,Erlent,0.0
2016,5 ára og yngri,,Erlent,0.0
2017,5 ára og yngri,,Erlent,0.0
2005,5 ára og yngri,Karl,Erlent,0.0
2006,5 ára og yngri,Karl,Erlent,0.0
2007,5 ára og yngri,Karl,Erlent,0.0
2008,5 ára og yngri,Karl,Erlent,0.0
2009,5 ára og yngri,Karl,Erlent,0.0
2010,5 ára og yngri,Karl,Erlent,0.0
2011,5 ára og yngri,Karl,Erlent,0.0
2012,5 ára og yngri,Karl,Erlent,0.0
2013,5 ára og yngri,Karl,Erlent,0.0
2014,5 ára og yngri,Karl,Erlent,0.0
2015,5 ára og yngri,Karl,Erlent,0.0
2016,5 ára og yngri,Karl,Erlent,0.0
2017,5 ára og yngri,Karl,Erlent,0.0
2005,5 ára og yngri,Kona,Erlent,0.0
2006,5 ára og yngri,Kona,Erlent,0.0
2007,5 ára og yngri,Kona,Erlent,0.0
2008,5 ára og yngri,Kona,Erlent,0.0
2009,5 ára og yngri,Kona,Erlent,0.0
2010,5 ára og yngri,Kona,Erlent,0.0
2011,5 ára og yngri,Kona,Erlent,0.0
2012,5 ára og yngri,Kona,Erlent,0.0
2013,5 ára og yngri,Kona,Erlent,0.0
2014,5 ára og yngri,Kona,Erlent,0.0
2015,5 ára og yngri,Kona,Erlent,0.0
2016,5 ára og yngri,Kona,Erlent,0.0
2017,5 ára og yngri,Kona,Erlent,0.0
2005,6 - 12 ára,,Erlent,0.074257426
2006,6 - 12 ára,,Erlent,0.129564193
2007,6 - 12 ára,,Erlent,0.101408451
2008,6 - 12 ára,,Erlent,0.061418202
2009,6 - 12 ára,,Erlent,0.053571429
2010,6 - 12 ára,,Erlent,0.083632019
2011,6 - 12 ára,,Erlent,0.065710872
2012,6 - 12 ára,,Erlent,0.076877587
2013,6 - 12 ára,,Erlent,0.091428571
2014,6 - 12 ára,,Erlent,0.044994376
2015,6 - 12 ára,,Erlent,0.070767556
2016,6 - 12 ára,,Erlent,0.057712487
2017,6 - 12 ára,,Erlent,0.103092784
2005,6 - 12 ára,Karl,Erlent,0.037128713
2006,6 - 12 ára,Karl,Erlent,0.064782097
2007,6 - 12 ára,Karl,Erlent,0.056338028
2008,6 - 12 ára,Karl,Erlent,0.027917365
2009,6 - 12 ára,Karl,Erlent,0.0
2010,6 - 12 ára,Karl,Erlent,0.035842294
2011,6 - 12 ára,Karl,Erlent,0.035842294
2012,6 - 12 ára,Karl,Erlent,0.047309284
2013,6 - 12 ára,Karl,Erlent,0.045714286
2014,6 - 12 ára,Karl,Erlent,0.0
2015,6 - 12 ára,Karl,Erlent,0.038105607
2016,6 - 12 ára,Karl,Erlent,0.0
2017,6 - 12 ára,Karl,Erlent,0.056701031
2005,6 - 12 ára,Kona,Erlent,0.037128713
2006,6 - 12 ára,Kona,Erlent,0.064782097
2007,6 - 12 ára,Kona,Erlent,0.045070423
2008,6 - 12 ára,Kona,Erlent,0.033500838
2009,6 - 12 ára,Kona,Erlent,0.0
2010,6 - 12 ára,Kona,Erlent,0.047789725
2011,6 - 12 ára,Kona,Erlent,0.029868578
2012,6 - 12 ára,Kona,Erlent,0.029568303
2013,6 - 12 ára,Kona,Erlent,0.045714286
2014,6 - 12 ára,Kona,Erlent,0.0
2015,6 - 12 ára,Kona,Erlent,0.032661949
2016,6 - 12 ára,Kona,Erlent,0.0
2017,6 - 12 ára,Kona,Erlent,0.046391753
2005,13 - 18 ára,,Erlent,2.431930693
2006,13 - 18 ára,,Erlent,2.832744405
2007,13 - 18 ára,,Erlent,3.408450704
2008,13 - 18 ára,,Erlent,3.82467895
2009,13 - 18 ára,,Erlent,4.113095238
2010,13 - 18 ára,,Erlent,3.996415771
2011,13 - 18 ára,,Erlent,4.121863799
2012,13 - 18 ára,,Erlent,3.914843288
2013,13 - 18 ára,,Erlent,3.828571429
2014,13 - 18 ára,,Erlent,4.015748031
2015,13 - 18 ára,,Erlent,4.03375068
2016,13 - 18 ára,,Erlent,4.123819517
2017,13 - 18 ára,,Erlent,4.082474227
2005,13 - 18 ára,Karl,Erlent,1.169554455
2006,13 - 18 ára,Karl,Erlent,1.395759717
2007,13 - 18 ára,Karl,Erlent,1.723943662
2008,13 - 18 ára,Karl,Erlent,1.976549414
2009,13 - 18 ára,Karl,Erlent,2.148809524
2010,13 - 18 ára,Karl,Erlent,2.025089606
2011,13 - 18 ára,Karl,Erlent,2.025089606
2012,13 - 18 ára,Karl,Erlent,1.998817268
2013,13 - 18 ára,Karl,Erlent,1.971428571
2014,13 - 18 ára,Karl,Erlent,2.035995501
2015,13 - 18 ára,Karl,Erlent,2.008709853
2016,13 - 18 ára,Karl,Erlent,2.103882476
2017,13 - 18 ára,Karl,Erlent,2.015463918
2005,13 - 18 ára,Kona,Erlent,1.262376238
2006,13 - 18 ára,Kona,Erlent,1.436984688
2007,13 - 18 ára,Kona,Erlent,1.684507042
2008,13 - 18 ára,Kona,Erlent,1.848129537
2009,13 - 18 ára,Kona,Erlent,1.964285714
2010,13 - 18 ára,Kona,Erlent,1.971326165
2011,13 - 18 ára,Kona,Erlent,2.096774194
2012,13 - 18 ára,Kona,Erlent,1.91602602
2013,13 - 18 ára,Kona,Erlent,1.857142857
2014,13 - 18 ára,Kona,Erlent,1.979752531
2015,13 - 18 ára,Kona,Erlent,2.025040827
2016,13 - 18 ára,Kona,Erlent,2.019937041
2017,13 - 18 ára,Kona,Erlent,2.067010309
2005,Alls,,Erlent,2.506188119
2006,Alls,,Erlent,2.962308598
2007,Alls,,Erlent,3.509859155
2008,Alls,,Erlent,3.886097152
2009,Alls,,Erlent,4.166666667
2010,Alls,,Erlent,4.08004779
2011,Alls,,Erlent,4.187574671
2012,Alls,,Erlent,3.991720875
2013,Alls,,Erlent,3.925714286
2014,Alls,,Erlent,4.071991001
2015,Alls,,Erlent,4.109961894
2016,Alls,,Erlent,4.186778594
2017,Alls,,Erlent,4.18556701
2005,Alls,Karl,Erlent,1.206683168
2006,Alls,Karl,Erlent,1.460541814
2007,Alls,Karl,Erlent,1.78028169
2008,Alls,Karl,Erlent,2.004466778
2009,Alls,Karl,Erlent,2.18452381
2010,Alls,Karl,Erlent,2.0609319
2011,Alls,Karl,Erlent,2.0609319
2012,Alls,Karl,Erlent,2.046126552
2013,Alls,Karl,Erlent,2.022857143
2014,Alls,Karl,Erlent,2.069741282
2015,Alls,Karl,Erlent,2.04681546
2016,Alls,Karl,Erlent,2.145855194
2017,Alls,Karl,Erlent,2.072164948
2005,Alls,Kona,Erlent,1.29950495
2006,Alls,Kona,Erlent,1.501766784
2007,Alls,Kona,Erlent,1.729577465
2008,Alls,Kona,Erlent,1.881630374
2009,Alls,Kona,Erlent,1.982142857
2010,Alls,Kona,Erlent,2.01911589
2011,Alls,Kona,Erlent,2.126642772
2012,Alls,Kona,Erlent,1.945594323
2013,Alls,Kona,Erlent,1.902857143
2014,Alls,Kona,Erlent,2.002249719
2015,Alls,Kona,Erlent,2.063146434
2016,Alls,Kona,Erlent,2.0409234
2017,Alls,Kona,Erlent,2.113402062
2005,5 ára og yngri,,Íslenskt,0.253712871
2006,5 ára og yngri,,Íslenskt,0.200235571
2007,5 ára og yngri,,Íslenskt,0.230985915
2008,5 ára og yngri,,Íslenskt,0.206588498
2009,5 ára og yngri,,Íslenskt,0.202380952
2010,5 ára og yngri,,Íslenskt,0.27479092
2011,5 ára og yngri,,Íslenskt,0.27479092
2012,5 ára og yngri,,Íslenskt,0.295683028
2013,5 ára og yngri,,Íslenskt,0.262857143
2014,5 ára og yngri,,Íslenskt,0.264341957
2015,5 ára og yngri,,Íslenskt,0.206859009
2016,5 ára og yngri,,Íslenskt,0.18887723
2017,5 ára og yngri,,Íslenskt,0.190721649
2005,5 ára og yngri,Karl,Íslenskt,0.10519802
2006,5 ára og yngri,Karl,Íslenskt,0.088339223
2007,5 ára og yngri,Karl,Íslenskt,0.123943662
2008,5 ára og yngri,Karl,Íslenskt,0.106085985
2009,5 ára og yngri,Karl,Íslenskt,0.05952381
2010,5 ára og yngri,Karl,Íslenskt,0.125448029
2011,5 ára og yngri,Karl,Íslenskt,0.131421744
2012,5 ára og yngri,Karl,Íslenskt,0.147841514
2013,5 ára og yngri,Karl,Íslenskt,0.125714286
2014,5 ára og yngri,Karl,Íslenskt,0.134983127
2015,5 ára og yngri,Karl,Íslenskt,0.08709853
2016,5 ára og yngri,Karl,Íslenskt,0.089192025
2017,5 ára og yngri,Karl,Íslenskt,0.082474227
2005,5 ára og yngri,Kona,Íslenskt,0.148514851
2006,5 ára og yngri,Kona,Íslenskt,0.111896349
2007,5 ára og yngri,Kona,Íslenskt,0.107042254
2008,5 ára og yngri,Kona,Íslenskt,0.100502513
2009,5 ára og yngri,Kona,Íslenskt,0.142857143
2010,5 ára og yngri,Kona,Íslenskt,0.149342891
2011,5 ára og yngri,Kona,Íslenskt,0.143369176
2012,5 ára og yngri,Kona,Íslenskt,0.147841514
2013,5 ára og yngri,Kona,Íslenskt,0.137142857
2014,5 ára og yngri,Kona,Íslenskt,0.12935883
2015,5 ára og yngri,Kona,Íslenskt,0.119760479
2016,5 ára og yngri,Kona,Íslenskt,0.099685205
2017,5 ára og yngri,Kona,Íslenskt,0.108247423
2005,6 - 12 ára,,Íslenskt,6.448019802
2006,6 - 12 ára,,Íslenskt,6.107184923
2007,6 - 12 ára,,Íslenskt,5.628169014
2008,6 - 12 ára,,Íslenskt,4.941373534
2009,6 - 12 ára,,Íslenskt,4.244047619
2010,6 - 12 ára,,Íslenskt,3.679808841
2011,6 - 12 ára,,Íslenskt,3.524492234
2012,6 - 12 ára,,Íslenskt,3.548196334
2013,6 - 12 ára,,Íslenskt,3.314285714
2014,6 - 12 ára,,Íslenskt,3.273340832
2015,6 - 12 ára,,Íslenskt,3.032117583
2016,6 - 12 ára,,Íslenskt,3.268625393
2017,6 - 12 ára,,Íslenskt,3.262886598
2005,6 - 12 ára,Karl,Íslenskt,3.33539604
2006,6 - 12 ára,Karl,Íslenskt,3.2803298
2007,6 - 12 ára,Karl,Íslenskt,2.974647887
2008,6 - 12 ára,Karl,Íslenskt,2.52372976
2009,6 - 12 ára,Karl,Íslenskt,2.178571429
2010,6 - 12 ára,Karl,Íslenskt,1.875746714
2011,6 - 12 ára,Karl,Íslenskt,1.696535245
2012,6 - 12 ára,Karl,Íslenskt,1.815493791
2013,6 - 12 ára,Karl,Íslenskt,1.76
2014,6 - 12 ára,Karl,Íslenskt,1.721034871
2015,6 - 12 ára,Karl,Íslenskt,1.594991835
2016,6 - 12 ára,Karl,Íslenskt,1.715634837
2017,6 - 12 ára,Karl,Íslenskt,1.824742268
2005,6 - 12 ára,Kona,Íslenskt,3.112623762
2006,6 - 12 ára,Kona,Íslenskt,2.826855124
2007,6 - 12 ára,Kona,Íslenskt,2.653521127
2008,6 - 12 ára,Kona,Íslenskt,2.417643774
2009,6 - 12 ára,Kona,Íslenskt,2.06547619
2010,6 - 12 ára,Kona,Íslenskt,1.804062127
2011,6 - 12 ára,Kona,Íslenskt,1.827956989
2012,6 - 12 ára,Kona,Íslenskt,1.732702543
2013,6 - 12 ára,Kona,Íslenskt,1.554285714
2014,6 - 12 ára,Kona,Íslenskt,1.552305962
2015,6 - 12 ára,Kona,Íslenskt,1.437125749
2016,6 - 12 ára,Kona,Íslenskt,1.552990556
2017,6 - 12 ára,Kona,Íslenskt,1.43814433
2005,13 - 18 ára,,Íslenskt,133.8056931
2006,13 - 18 ára,,Íslenskt,129.7644287
2007,13 - 18 ára,,Íslenskt,124.7605634
2008,13 - 18 ára,,Íslenskt,122.2278057
2009,13 - 18 ára,,Íslenskt,121.4404762
2010,13 - 18 ára,,Íslenskt,119.1577061
2011,13 - 18 ára,,Íslenskt,110.3703704
2012,13 - 18 ára,,Íslenskt,107.1200473
2013,13 - 18 ára,,Íslenskt,103.0171429
2014,13 - 18 ára,,Íslenskt,102.0866142
2015,13 - 18 ára,,Íslenskt,97.75176919
2016,13 - 18 ára,,Íslenskt,94.96852046
2017,13 - 18 ára,,Íslenskt,94.44329897
2005,13 - 18 ára,Karl,Íslenskt,68.99752475
2006,13 - 18 ára,Karl,Íslenskt,66.61366313
2007,13 - 18 ára,Karl,Íslenskt,63.65070423
2008,13 - 18 ára,Karl,Íslenskt,62.42881072
2009,13 - 18 ára,Karl,Íslenskt,61.6547619
2010,13 - 18 ára,Karl,Íslenskt,60.57945042
2011,13 - 18 ára,Karl,Íslenskt,56.30824373
2012,13 - 18 ára,Karl,Íslenskt,54.80780603
2013,13 - 18 ára,Karl,Íslenskt,52.10285714
2014,13 - 18 ára,Karl,Íslenskt,51.55230596
2015,13 - 18 ára,Karl,Íslenskt,49.30865542
2016,13 - 18 ára,Karl,Íslenskt,47.99580273
2017,13 - 18 ára,Karl,Íslenskt,47.55670103
2005,13 - 18 ára,Kona,Íslenskt,64.80816832
2006,13 - 18 ára,Kona,Íslenskt,63.15076561
2007,13 - 18 ára,Kona,Íslenskt,61.10985915
2008,13 - 18 ára,Kona,Íslenskt,59.79899497
2009,13 - 18 ára,Kona,Íslenskt,59.78571429
2010,13 - 18 ára,Kona,Íslenskt,58.57825568
2011,13 - 18 ára,Kona,Íslenskt,54.06212664
2012,13 - 18 ára,Kona,Íslenskt,52.31224128
2013,13 - 18 ára,Kona,Íslenskt,50.91428571
2014,13 - 18 ára,Kona,Íslenskt,50.53430821
2015,13 - 18 ára,Kona,Íslenskt,48.44311377
2016,13 - 18 ára,Kona,Íslenskt,46.97271773
2017,13 - 18 ára,Kona,Íslenskt,46.88659794
2005,Alls,,Íslenskt,140.5074257
2006,Alls,,Íslenskt,136.0718492
2007,Alls,,Íslenskt,130.6197183
2008,Alls,,Íslenskt,127.3757677
2009,Alls,,Íslenskt,125.8869048
2010,Alls,,Íslenskt,123.1123059
2011,Alls,,Íslenskt,114.1696535
2012,Alls,,Íslenskt,110.9639267
2013,Alls,,Íslenskt,106.5942857
2014,Alls,,Íslenskt,105.624297
2015,Alls,,Íslenskt,100.9907458
2016,Alls,,Íslenskt,98.42602308
2017,Alls,,Íslenskt,97.89690722
2005,Alls,Karl,Íslenskt,72.43811881
2006,Alls,Karl,Íslenskt,69.98233216
2007,Alls,Karl,Íslenskt,66.74929577
2008,Alls,Karl,Íslenskt,65.05862647
2009,Alls,Karl,Íslenskt,63.89285714
2010,Alls,Karl,Íslenskt,62.58064516
2011,Alls,Karl,Íslenskt,58.13620072
2012,Alls,Karl,Íslenskt,56.77114134
2013,Alls,Karl,Íslenskt,53.98857143
2014,Alls,Karl,Íslenskt,53.40832396
2015,Alls,Karl,Íslenskt,50.99074578
2016,Alls,Karl,Íslenskt,49.80062959
2017,Alls,Karl,Íslenskt,49.46391753
