Year,Kyn,Aldur,Value
1991,,,2.5
1991,,16-24,4.9
1991,,25-54,2.2
1991,,55-74,1.6
1991,Karlar,,2.3
1991,Karlar,16-24,5.8
1991,Karlar,25-54,1.8
1991,Karlar,55-74,0.6
1991,Konur,,2.9
1991,Konur,16-24,3.9
1991,Konur,25-54,2.6
1991,Konur,55-74,2.7
1992,,,4.3
1992,,16-24,9.9
1992,,25-54,3.2
1992,,55-74,3.1
1992,Karlar,,3.8
1992,Karlar,16-24,8.9
1992,Karlar,25-54,2.7
1992,Karlar,55-74,3.2
1992,Konur,,4.9
1992,Konur,16-24,10.9
1992,Konur,25-54,3.8
1992,Konur,55-74,2.9
1993,,,5.3
1993,,16-24,10.0
1993,,25-54,4.3
1993,,55-74,4.4
1993,Karlar,,5.0
1993,Karlar,16-24,10.2
1993,Karlar,25-54,4.0
1993,Karlar,55-74,4.2
1993,Konur,,5.6
1993,Konur,16-24,9.7
1993,Konur,25-54,4.8
1993,Konur,55-74,4.6
1994,,,5.3
1994,,16-24,11.5
1994,,25-54,4.2
1994,,55-74,4.0
1994,Karlar,,5.1
1994,Karlar,16-24,13.0
1994,Karlar,25-54,3.5
1994,Karlar,55-74,4.6
1994,Konur,,5.5
1994,Konur,16-24,10.1
1994,Konur,25-54,5.0
1994,Konur,55-74,3.2
1995,,,4.9
1995,,16-24,11.0
1995,,25-54,3.7
1995,,55-74,3.5
1995,Karlar,,4.8
1995,Karlar,16-24,13.1
1995,Karlar,25-54,3.1
1995,Karlar,55-74,3.6
1995,Konur,,4.9
1995,Konur,16-24,8.6
1995,Konur,25-54,4.3
1995,Konur,55-74,3.4
1996,,,3.7
1996,,16-24,8.4
1996,,25-54,2.6
1996,,55-74,3.7
1996,Karlar,,3.4
1996,Karlar,16-24,9.2
1996,Karlar,25-54,2.1
1996,Karlar,55-74,3.3
1996,Konur,,4.1
1996,Konur,16-24,7.6
1996,Konur,25-54,3.2
1996,Konur,55-74,4.1
1997,,,3.9
1997,,16-24,7.7
1997,,25-54,3.0
1997,,55-74,3.7
1997,Karlar,,3.3
1997,Karlar,16-24,8.3
1997,Karlar,25-54,2.3
1997,Karlar,55-74,3.1
1997,Konur,,4.5
1997,Konur,16-24,7.1
1997,Konur,25-54,3.8
1997,Konur,55-74,4.4
1998,,,2.7
1998,,16-24,6.0
1998,,25-54,2.1
1998,,55-74,2.0
1998,Karlar,,2.3
1998,Karlar,16-24,6.4
1998,Karlar,25-54,1.3
1998,Karlar,55-74,2.1
1998,Konur,,3.3
1998,Konur,16-24,5.6
1998,Konur,25-54,2.9
1998,Konur,55-74,2.0
1999,,,2.0
1999,,16-24,4.4
1999,,25-54,1.4
1999,,55-74,2.0
1999,Karlar,,1.5
1999,Karlar,16-24,4.4
1999,Karlar,25-54,0.7
1999,Karlar,55-74,1.5
1999,Konur,,2.6
1999,Konur,16-24,4.4
1999,Konur,25-54,2.1
1999,Konur,55-74,2.7
2000,,,2.3
2000,,16-24,4.7
2000,,25-54,1.7
2000,,55-74,2.0
2000,Karlar,,1.8
2000,Karlar,16-24,5.7
2000,Karlar,25-54,1.1
2000,Karlar,55-74,0.7
2000,Konur,,2.9
2000,Konur,16-24,3.6
2000,Konur,25-54,2.5
2000,Konur,55-74,3.8
2001,,,2.3
2001,,16-24,4.8
2001,,25-54,1.7
2001,,55-74,1.6
2001,Karlar,,2.0
2001,Karlar,16-24,5.4
2001,Karlar,25-54,1.3
2001,Karlar,55-74,1.4
2001,Konur,,2.5
2001,Konur,16-24,4.3
2001,Konur,25-54,2.2
2001,Konur,55-74,1.9
2002,,,3.3
2002,,16-24,7.2
2002,,25-54,2.7
2002,,55-74,1.9
2002,Karlar,,3.6
2002,Karlar,16-24,9.7
2002,Karlar,25-54,2.5
2002,Karlar,55-74,2.2
2002,Konur,,2.9
2002,Konur,16-24,4.4
2002,Konur,25-54,2.9
2002,Konur,55-74,1.5
2003,,,3.3
2003,,16-24,8.2
2003,,25-54,2.5
2003,,55-74,1.9
2003,Karlar,,3.6
2003,Karlar,16-24,9.4
2003,Karlar,25-54,2.4
2003,Karlar,55-74,2.5
2003,Konur,,3.1
2003,Konur,16-24,7.0
2003,Konur,25-54,2.5
2003,Konur,55-74,1.2
2004,,,3.1
2004,,16-24,8.1
2004,,25-54,2.0
2004,,55-74,2.5
2004,Karlar,,3.2
2004,Karlar,16-24,9.3
2004,Karlar,25-54,1.9
2004,Karlar,55-74,2.6
2004,Konur,,2.9
2004,Konur,16-24,6.8
2004,Konur,25-54,2.0
2004,Konur,55-74,2.4
2005,,,2.6
2005,,16-24,7.2
2005,,25-54,1.7
2005,,55-74,1.3
2005,Karlar,,2.6
2005,Karlar,16-24,8.5
2005,Karlar,25-54,1.6
2005,Karlar,55-74,0.9
2005,Konur,,2.6
2005,Konur,16-24,5.9
2005,Konur,25-54,1.8
2005,Konur,55-74,1.8
2006,,,2.9
2006,,16-24,8.2
2006,,25-54,1.8
2006,,55-74,1.5
2006,Karlar,,2.7
2006,Karlar,16-24,8.9
2006,Karlar,25-54,1.7
2006,Karlar,55-74,1.0
2006,Konur,,3.1
