Year,Kyn,Aldur,Value
2006,Konur,16-24,7.6
2006,Konur,25-54,2.0
2006,Konur,55-74,2.1
2007,,,2.3
2007,,16-24,7.1
2007,,25-54,1.3
2007,,55-74,1.1
2007,Karlar,,2.3
2007,Karlar,16-24,8.0
2007,Karlar,25-54,1.2
2007,Karlar,55-74,1.2
2007,Konur,,2.3
2007,Konur,16-24,6.2
2007,Konur,25-54,1.6
2007,Konur,55-74,0.9
2008,,,3.0
2008,,16-24,8.2
2008,,25-54,2.0
2008,,55-74,1.6
2008,Karlar,,3.3
2008,Karlar,16-24,9.0
2008,Karlar,25-54,2.2
2008,Karlar,55-74,2.4
2008,Konur,,2.6
2008,Konur,16-24,7.5
2008,Konur,25-54,1.7
2008,Konur,55-74,0.7
2009,,,7.2
2009,,16-24,16.0
2009,,25-54,6.1
2009,,55-74,3.4
2009,Karlar,,8.6
2009,Karlar,16-24,19.9
2009,Karlar,25-54,7.2
2009,Karlar,55-74,4.4
2009,Konur,,5.7
2009,Konur,16-24,12.0
2009,Konur,25-54,4.9
2009,Konur,55-74,2.2
2010,,,7.6
2010,,16-24,16.2
2010,,25-54,6.3
2010,,55-74,4.2
2010,Karlar,,8.3
2010,Karlar,16-24,18.4
2010,Karlar,25-54,7.0
2010,Karlar,55-74,4.8
2010,Konur,,6.7
2010,Konur,16-24,14.0
2010,Konur,25-54,5.6
2010,Konur,55-74,3.5
2011,,,7.1
2011,,16-24,14.6
2011,,25-54,5.6
2011,,55-74,5.2
2011,Karlar,,7.8
2011,Karlar,16-24,18.4
2011,Karlar,25-54,5.6
2011,Karlar,55-74,6.3
2011,Konur,,6.2
2011,Konur,16-24,10.7
2011,Konur,25-54,5.6
2011,Konur,55-74,3.8
2012,,,6.0
2012,,16-24,13.6
2012,,25-54,4.6
2012,,55-74,4.1
2012,Karlar,,6.4
2012,Karlar,16-24,14.7
2012,Karlar,25-54,4.8
2012,Karlar,55-74,4.4
2012,Konur,,5.7
2012,Konur,16-24,12.4
2012,Konur,25-54,4.4
2012,Konur,55-74,3.7
2013,,,5.4
2013,,16-24,10.7
2013,,25-54,4.6
2013,,55-74,3.2
2013,Karlar,,5.7
2013,Karlar,16-24,13.6
2013,Karlar,25-54,4.4
2013,Karlar,55-74,3.4
2013,Konur,,5.1
2013,Konur,16-24,7.8
2013,Konur,25-54,4.9
2013,Konur,55-74,3.0
2014,,,5.0
2014,,16-24,10.0
2014,,25-54,4.3
2014,,55-74,2.8
2014,Karlar,,5.1
2014,Karlar,16-24,13.1
2014,Karlar,25-54,3.8
2014,Karlar,55-74,2.7
2014,Konur,,4.9
2014,Konur,16-24,6.9
2014,Konur,25-54,5.0
2014,Konur,55-74,2.9
2015,,,4.0
2015,,16-24,8.7
2015,,25-54,3.2
2015,,55-74,2.6
2015,Karlar,,3.9
2015,Karlar,16-24,10.7
2015,Karlar,25-54,2.6
2015,Karlar,55-74,2.5
2015,Konur,,4.1
2015,Konur,16-24,6.7
2015,Konur,25-54,3.8
2015,Konur,55-74,2.7
2016,,,3.0
2016,,16-24,6.5
2016,,25-54,2.5
2016,,55-74,1.8
2016,Karlar,,2.9
2016,Karlar,16-24,6.7
2016,Karlar,25-54,2.2
2016,Karlar,55-74,2.2
2016,Konur,,3.1
2016,Konur,16-24,6.4
2016,Konur,25-54,2.8
2016,Konur,55-74,1.3
2017,,,2.8
2017,,16-24,7.9
2017,,25-54,1.9
2017,,55-74,1.4
2017,Karlar,,2.8
2017,Karlar,16-24,8.6
2017,Karlar,25-54,1.8
2017,Karlar,55-74,1.4
2017,Konur,,2.7
2017,Konur,16-24,7.1
2017,Konur,25-54,2.0
2017,Konur,55-74,1.4
2018,,,2.7
2018,,16-24,6.1
2018,,25-54,2.1
2018,,55-74,2.1
2018,Karlar,,2.9
2018,Karlar,16-24,6.5
2018,Karlar,25-54,2.3
2018,Karlar,55-74,2.1
2018,Konur,,2.6
2018,Konur,16-24,5.6
2018,Konur,25-54,2.0
2018,Konur,55-74,2.0
2019,,,3.9
2019,,16-24,9.3
2019,,25-54,3.3
2019,,55-74,1.9
2019,Karlar,,4.3
2019,Karlar,16-24,12.7
2019,Karlar,25-54,3.2
2019,Karlar,55-74,2.2
2019,Konur,,3.5
2019,Konur,16-24,5.8
2019,Konur,25-54,3.4
2019,Konur,55-74,1.6
2020,,,6.4
2020,,16-24,11.9
2020,,25-54,6.2
2020,,55-74,3.5
2020,Karlar,,6.6
2020,Karlar,16-24,12.6
2020,Karlar,25-54,6.4
2020,Karlar,55-74,3.4
2020,Konur,,6.3
2020,Konur,16-24,11.2
2020,Konur,25-54,5.9
2020,Konur,55-74,3.6
2021,,,6.0
2021,,16-24,11.9
2021,,25-54,5.5
2021,,55-74,3.6
2021,Karlar,,5.6
2021,Karlar,16-24,12.9
2021,Karlar,25-54,4.7
2021,Karlar,55-74,3.9
2021,Konur,,6.4
2021,Konur,16-24,10.9
2021,Konur,25-54,6.4
2021,Konur,55-74,3.2
