Year,Kyn,Value
2003,,6.0
2003,Karlar,5.5
2003,Konur,5.6
2004,,6.0
2004,Karlar,5.0
2004,Konur,7.1
2005,,5.1
2005,Karlar,4.7
2005,Konur,5.4
2006,,5.1
2006,Karlar,4.3
2006,Konur,6.0
2007,,4.7
2007,Karlar,3.7
2007,Konur,5.6
2008,,4.8
2008,Karlar,4.5
2008,Konur,5.1
2009,,8.8
2009,Karlar,11.1
2009,Konur,6.5
2010,,9.2
2010,Karlar,9.6
2010,Konur,8.8
2011,,8.4
2011,Karlar,9.9
2011,Konur,6.8
2012,,7.1
2012,Karlar,8.2
2012,Konur,5.9
2013,,6.5
2013,Karlar,7.7
2013,Konur,5.1
2014,,7.2
2014,Karlar,7.5
2014,Konur,6.7
2015,,5.8
2015,Karlar,6.7
2015,Konur,4.7
2016,,5.0
2016,Karlar,5.2
2016,Konur,4.8
2017,,4.9
2017,Karlar,4.8
2017,Konur,5.1
2018,,5.9
2018,Karlar,5.1
2018,Konur,6.6
2019,,5.5
2019,Karlar,6.8
2019,Konur,4.2
2020,,7.4
2020,Karlar,7.5
2020,Konur,7.2
2021,,6.3
2021,Karlar,6.9
2021,Konur,5.6
