Year,Value
1996,0.37
1997,0.0
1998,2.56
1999,0.0
2000,0.71
2001,2.1
2002,0.35
2003,0.69
2004,0.0
2005,0.68
2006,0.33
2007,0.0
2008,0.94
2009,0.63
2010,0.63
2011,1.88
2012,1.56
2013,0.93
2014,0.92
2015,0.6
2016,0.0
2017,1.46
2018,5.1
2019,2.22
2020,1.36
