Year,Kyn,Value
1998,,88
1999,,90
2000,,91
2001,,91
2002,,93
2003,,93
2004,,93
2005,,93
2006,,92
2007,,94
2008,,91
2009,,93
2010,,94
2011,,95
2012,,95
2013,,94
2014,,95
2015,,95
2016,,96
2017,,97
2018,,97
2019,,96
2020,,97
1998,Karl,91
1999,Karl,89
2000,Karl,93
2001,Karl,91
2002,Karl,93
2003,Karl,93
2004,Karl,93
2005,Karl,95
2006,Karl,92
2007,Karl,94
2008,Karl,92
2009,Karl,94
2010,Karl,95
2011,Karl,96
2012,Karl,96
2013,Karl,94
2014,Karl,96
2015,Karl,96
2016,Karl,95
2017,Karl,97
2018,Karl,97
2019,Karl,96
2020,Karl,97
1998,Kona,86
1999,Kona,91
2000,Kona,90
2001,Kona,92
2002,Kona,93
2003,Kona,92
2004,Kona,93
2005,Kona,92
2006,Kona,92
2007,Kona,94
2008,Kona,91
2009,Kona,92
2010,Kona,92
2011,Kona,94
2012,Kona,95
2013,Kona,94
2014,Kona,95
2015,Kona,95
2016,Kona,97
2017,Kona,97
2018,Kona,97
2019,Kona,96
2020,Kona,96
