Year,Kyn,Value
2000,,60.8
2002,,61.2
2003,,61.6
2004,,61.3
2005,,63.5
2006,,63.1
2007,,63.3
2008,,64.3
2009,,63.1
2010,,65.0
2011,,64.4
2012,,65.6
2000,Karl,53.2
2002,Karl,55.0
2003,Karl,55.5
2004,Karl,55.4
2005,Karl,57.9
2006,Karl,56.7
2007,Karl,57.2
2008,Karl,58.6
2009,Karl,56.4
2010,Karl,56.2
2011,Karl,58.4
2012,Karl,59.9
2000,Kona,68.4
2002,Kona,67.2
2003,Kona,68.0
2004,Kona,67.2
2005,Kona,68.7
2006,Kona,69.2
2007,Kona,69.6
2008,Kona,70.1
2009,Kona,69.7
2010,Kona,74.1
2011,Kona,70.6
2012,Kona,71.4
