Year,Kyn,Value
2013,Karl,54.9
2014,Karl,58.2
2015,Karl,54.9
2016,Karl,62.7
2017,Karl,64.5
2018,Karl,61.1
2013,Kona,29.0
2014,Kona,33.2
2015,Kona,36.9
2016,Kona,37.3
2017,Kona,35.9
2018,Kona,38.3
